1964,Sep,FL,2,966,,Dora
1964,Oct,AL,3,950,,Hilda
1964,Oct,FL,2,974,,Isbell
1965,Sep,FL,3,948,,Betsy
1966,Jun,FL,2,982,,Alma
1966,Oct,FL,1,983,,Inez
1967,Sep,TX,3,950,,Beulah
1968,Oct,FL,2,977,,Gladys
1969,Aug,AL,5,909,,Camille
1969,Sep,ME,1,980,,Gerda
1970,Aug,TX,3,945,,Celia
1971,Sep,AL,2,978,,Edith
1971,Sep,TX,1,979,,Fern
1971,Sep,NC,1,995,,Ginger
1972,Jun,FL,1,980,,Agnes
1974,Sep,AL,3,952,,Carmen
1975,Sep,FL,3,955,,Eloise
1976,Aug,NY,1,980,,Belle
1977,Sep,AL,1,995,,Babe
1979,Jul,AL,1,986,,Bob
1979,Sep,FL,2,970,,David
1979,Sep,AL,3,946,,Frederic
1980,Aug,TX,3,945,100,Allen
1983,Aug,TX,3,962,100,Alicia
1984,Sep,NC,2,949,95,Diana
1985,Jul,SC,1,1003,65,Bob
1985,Aug,AL,1,987,80,Danny
1985,Sep,AL,3,959,100,Elena
1985,Sep,NC,3,942,90,Gloria
1985,Oct,AL,1,971,75,Juan
1985,Nov,FL,2,967,85,Kate
1986,Jun,TX,1,990,75,Bonnie
1986,Aug,NC,1,990,65,Charley
1987,Oct,FL,1,993,65,Floyd
1988,Sep,AL,1,984,70,Florence
1989,Aug,TX,1,986,70,Chantal
1989,Sep,SC,4,934,120,Hugo
1989,Oct,TX,1,983,75,Jerry
1991,Aug,RI,2,962,90,Bob
1992,Aug,FL,5,922,145,Andrew
1993,Aug,NC,3,961,100,Emily
1995,Aug,FL,2,973,85,Erin
1995,Oct,FL,3,942,100,Opal
1996,Jul,NC,2,974,90,Bertha
1996,Sep,NC,3,954,100,Fran
1997,Jul,AL,1,984,70,Danny
1998,Aug,NC,2,964,95,Bonnie
1998,Sep,FL,1,987,70,Earl
1998,Sep,FL,2,964,90,Georges
1999,Aug,TX,3,951,100,Bret
1999,Sep,NC,2,956,90,Floyd
1999,Oct,FL,2,964,95,Irene
2002,Oct,AL,1,963,80,Lili
2003,Jul,TX,1,979,80,Claudette
2003,Sep,NC,2,957,90,Isabel
2004,Aug,NC,1,972,70,Alex
2004,Aug,FL,4,941,130,Charley
2004,Aug,SC,1,985,65,Gaston
2004,Sep,FL,2,960,90,Frances
2004,Sep,AL,3,946,105,Ivan
2004,Sep,FL,3,950,105,Jeanne
2005,Jul,AL,1,991,65,Cindy
2005,Jul,FL,3,946,105,Dennis
2005,Aug,FL,3,920,110,Katrina
2005,Sep,NC,1,982,65,Ophelia
2005,Sep,FL,3,937,100,Rita
2005,Oct,FL,3,950,105,Wilma
2007,Sep,TX,1,985,80,Humberto
2008,Jul,TX,1,967,75,Dolly
2008,Sep,AL,2,954,90,Gustav
2008,Sep,TX,2,950,95,Ike
